Run,Status,ClusterNumber
listeriaoutbreakSRR3181801,Investigated-Isolate-Non-outbreak,7
listeriaoutbreakSRR1556288,Investigated-Isolate-Outbreak,-1
listeriaoutbreakSRR1556294,Investigated-Isolate-Outbreak,2
listeriaoutbreakSRR1556293,Investigated-Isolate-Outbreak,2
listeriaoutbreakSRR1556289,Investigated-Isolate-Outbreak,3
listeriaoutbreakSRR1556296,Investigated-Isolate-Outbreak,3
listeriaoutbreakSRR1556290,Investigated-Isolate-Outbreak,1
listeriaoutbreakSRR1556291,Investigated-Isolate-Outbreak,-1
listeriaoutbreakSRR1556297,Investigated-Isolate-Outbreak,2
listeriaoutbreakSRR1556295,Investigated-Isolate-Outbreak,2
listeriaoutbreakSRR1553907,Investigated-Isolate-Outbreak,3
listeriaoutbreakSRR1553792,Investigated-Isolate-Outbreak,2
listeriaoutbreakSRR1553826,Investigated-Isolate-Outbreak,2
listeriaoutbreakSRR1553867,Investigated-Isolate-Outbreak,3
listeriaoutbreakSRR1553773,Investigated-Isolate-Outbreak,2
listeriaoutbreakSRR1553851,Investigated-Isolate-Outbreak,1
listeriaoutbreakSRR1553827,Investigated-Isolate-Outbreak,2
listeriaoutbreakSRR1553821,Investigated-Isolate-Outbreak,2
listeriaoutbreakSRR1553774,Investigated-Isolate-Outbreak,2
listeriaoutbreakSRR1553739,Investigated-Isolate-Outbreak,1
listeriaoutbreakSRR1553882,Investigated-Isolate-Outbreak,2
listeriaoutbreakSRR1553856,Investigated-Isolate-Outbreak,2
listeriaoutbreakSRR1553791,Investigated-Isolate-Outbreak,2
listeriaoutbreakSRR1553816,Investigated-Isolate-Outbreak,3
listeriaoutbreakSRR1553756,Investigated-Isolate-Outbreak,2
listeriaoutbreakSRR1553788,Investigated-Isolate-Outbreak,2
listeriaoutbreakSRR1553804,Investigated-Isolate-Outbreak,2
listeriaoutbreakSRR1534987,Investigated-Isolate-Outbreak,-1
listeriaoutbreakSRR1597487,Investigated-Isolate-Outbreak,3
listeriaoutbreakSRR974868,Non-investigated-Isolate-Unknown-Status,2
SRR2636957,Non-investigated-Isolate-Low-Diversity,24
SRR12965747,Non-investigated-Isolate-Low-Diversity,13
SRR12762067,Non-investigated-Isolate-Low-Diversity,13
SRR12762063,Non-investigated-Isolate-Low-Diversity,14
SRR12761314,Non-investigated-Isolate-Low-Diversity,13
SRR12845599,Non-investigated-Isolate-Low-Diversity,14
SRR12800815,Non-investigated-Isolate-Low-Diversity,19
SRR12761333,Non-investigated-Isolate-Low-Diversity,13
SRR12762065,Non-investigated-Isolate-Low-Diversity,15
SRR12761349,Non-investigated-Isolate-Low-Diversity,16
SRR12762066,Non-investigated-Isolate-Low-Diversity,20
SRR12801651,Non-investigated-Isolate-Low-Diversity,15
SRR12876697,Non-investigated-Isolate-Low-Diversity,14
SRR12800810,Non-investigated-Isolate-Low-Diversity,15
SRR12800814,Non-investigated-Isolate-Low-Diversity,13
SRR12800836,Non-investigated-Isolate-Low-Diversity,15
SRR12761348,Non-investigated-Isolate-Low-Diversity,19
SRR12800808,Non-investigated-Isolate-Low-Diversity,20
SRR12761330,Non-investigated-Isolate-Low-Diversity,13
SRR12761955,Non-investigated-Isolate-Low-Diversity,13
SRR12761345,Non-investigated-Isolate-Low-Diversity,19
SRR12761317,Non-investigated-Isolate-Low-Diversity,19
SRR12801142,Non-investigated-Isolate-Low-Diversity,19
SRR12761313,Non-investigated-Isolate-Low-Diversity,16
SRR12762064,Non-investigated-Isolate-Low-Diversity,14
SRR12801295,Non-investigated-Isolate-Low-Diversity,19
SRR12761485,Non-investigated-Isolate-Low-Diversity,14
SRR12801032,Non-investigated-Isolate-Low-Diversity,14
SRR12801650,Non-investigated-Isolate-Low-Diversity,-1
SRR12801033,Non-investigated-Isolate-Low-Diversity,-1
SRR12801143,Non-investigated-Isolate-Low-Diversity,14
SRR12800826,Non-investigated-Isolate-Low-Diversity,13
SRR12800827,Non-investigated-Isolate-Low-Diversity,19
SRR12801139,Non-investigated-Isolate-Low-Diversity,15
SRR12801296,Non-investigated-Isolate-Low-Diversity,13
SRR12761311,Non-investigated-Isolate-Low-Diversity,16
SRR12800816,Non-investigated-Isolate-Low-Diversity,14
SRR12800811,Non-investigated-Isolate-Low-Diversity,19
SRR12801141,Non-investigated-Isolate-Low-Diversity,19
SRR12761347,Non-investigated-Isolate-Low-Diversity,20
SRR12800813,Non-investigated-Isolate-Low-Diversity,15
SRR12801312,Non-investigated-Isolate-Low-Diversity,13
SRR11300610,Non-investigated-Isolate-Low-Diversity,-1
SRR11300625,Non-investigated-Isolate-Low-Diversity,21
SRR11300720,Non-investigated-Isolate-Low-Diversity,22
SRR11300623,Non-investigated-Isolate-Low-Diversity,22
SRR11300653,Non-investigated-Isolate-Low-Diversity,-1
SRR11300719,Non-investigated-Isolate-Low-Diversity,21
SRR11300616,Non-investigated-Isolate-Low-Diversity,21
SRR11300615,Non-investigated-Isolate-Low-Diversity,23
SRR11300626,Non-investigated-Isolate-Low-Diversity,23
SRR11300620,Non-investigated-Isolate-Low-Diversity,23
SRR11300643,Non-investigated-Isolate-Low-Diversity,23
SRR11300604,Non-investigated-Isolate-Low-Diversity,22
SRR11300624,Non-investigated-Isolate-Low-Diversity,22
SRR3649789,Non-investigated-Isolate-Low-Diversity,-1
SRR11300557,Non-investigated-Isolate-Low-Diversity,18
SRR11300706,Non-investigated-Isolate-Low-Diversity,18
SRR3743169,Non-investigated-Isolate-Low-Diversity,-1
SRR3649731,Non-investigated-Isolate-Low-Diversity,18
SRR3660012,Non-investigated-Isolate-Low-Diversity,18
SRR6163103,Non-investigated-Isolate-Low-Diversity,-1
SRR9280623,Non-investigated-Isolate-Low-Diversity,22
SRR9952500,Non-investigated-Isolate-Low-Diversity,-1
SRR1373618,Non-investigated-Isolate-Low-Diversity,-1
SRR2147312,Non-investigated-Isolate-Low-Diversity,-1
SRR12185765,Non-investigated-Isolate-Low-Diversity,11
SRR10850553,Non-investigated-Isolate-Low-Diversity,18
SRR12185764,Non-investigated-Isolate-Low-Diversity,12
SRR3649730,Non-investigated-Isolate-Low-Diversity,18
SRR3660026,Non-investigated-Isolate-Low-Diversity,18
SRR11300473,Non-investigated-Isolate-Low-Diversity,17
SRR5839918,Non-investigated-Isolate-Low-Diversity,11
SRR11300651,Non-investigated-Isolate-Low-Diversity,12
SRR3199552,Non-investigated-Isolate-Low-Diversity,12
SRR3649756,Non-investigated-Isolate-Low-Diversity,18
SRR3660017,Non-investigated-Isolate-Low-Diversity,18
SRR3649729,Non-investigated-Isolate-Low-Diversity,-1
SRR3660013,Non-investigated-Isolate-Low-Diversity,18
SRR3660022,Non-investigated-Isolate-Low-Diversity,-1
SRR3660014,Non-investigated-Isolate-Low-Diversity,-1
SRR3660024,Non-investigated-Isolate-Low-Diversity,-1
SRR3660018,Non-investigated-Isolate-Low-Diversity,-1
SRR3660016,Non-investigated-Isolate-Low-Diversity,17
SRR3743165,Non-investigated-Isolate-Low-Diversity,17
SRR3021476,Non-investigated-Isolate-Low-Diversity,18
SRR3021475,Non-investigated-Isolate-Low-Diversity,17
SRR9952506,Non-investigated-Isolate-Low-Diversity,17
SRR3021477,Non-investigated-Isolate-Low-Diversity,17
SRR3021483,Non-investigated-Isolate-Low-Diversity,17
SRR10850552,Non-investigated-Isolate-Low-Diversity,18
SRR5985801,Non-investigated-Isolate-Low-Diversity,18
SRR5870989,Non-investigated-Isolate-Low-Diversity,24
SRR13187410,Non-investigated-Isolate-Low-Diversity,24
SRR7449516,Non-investigated-Isolate-Low-Diversity,24
SRR10559620,Non-investigated-Isolate-Low-Diversity,24
SRR10559647,Non-investigated-Isolate-Low-Diversity,24
SRR2636959,Non-investigated-Isolate-Low-Diversity,24
SRR2636958,Non-investigated-Isolate-Low-Diversity,24
SRR7521604,Non-investigated-Isolate-Low-Diversity,24
