Name	Species	O-type	H-type	Serotype	QC	Evidence	GeneScores	AlleleKeys	GeneIdentities(%)	GeneCoverages(%)	GeneContigNames	GeneRanges	GeneLengths	Database	Warnings
SRR10997035.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_124_58.2654;Contig_124_58.2654;Contig_132_58.5118;	65424-66815;63556-64722;11436-13193;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR11091465.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:0.56;wzy:0.67;fliC:1;	O157-16-wzx;O157-220-wzy;H7-1-fliC-origin;	100;100;100;	56;67;100;	Contig_14_14.8966;Contig_89_6.5538;Contig_66_35.3766;	1-774;1-652;13412-15169;	774;652;1758;	v1.0 (11-03-2020)	-
SRR11362351.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_119_67.1346;Contig_119_67.1346;Contig_128_72.1638;	65424-66815;63556-64722;11436-13193;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR12022719.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_49_46.375;Contig_49_46.375;Contig_150_45.2154;	65439-66830;63571-64737;11436-13193;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR12061427.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_43_69.0151;Contig_43_69.0151;Contig_128_73.4541;	65439-66830;63571-64737;11436-13193;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR12171650.skesa	-	O157	H7	O157:H7	-	Based on 2 allele(s)	wzx:0.98;fliC:1;	O157-1-wzx-origin;H7-1-fliC-origin;	100;100;	98;100;	Contig_10_35.9274;Contig_179_68.7123;	1-1370;11436-13193;	1370;1758;	v1.0 (11-03-2020)	-
SRR12217707.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_139_32.0063;Contig_139_32.0063;Contig_152_32.5838;	65424-66815;63556-64722;11436-13193;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR12232601.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_134_51.2485;Contig_134_51.2485;Contig_144_47.3504;	65424-66815;63556-64722;11436-13193;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR12493956.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_115_56.3909;Contig_115_56.3909;Contig_121_59.4717;	65423-66814;63555-64721;11436-13193;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR12595404.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_120_75.78;Contig_120_75.78;Contig_119_84.867;	65449-66840;63581-64747;11436-13193;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR12638264.skesa	-	O157	H7	O157:H7	-	Based on 2 allele(s)	wzx:0.56;fliC:1;	O157-16-wzx;H7-1-fliC-origin;	100;100;	56;100;	Contig_25_13.9371;Contig_223_56.3178;	1-784;11436-13193;	784;1758;	v1.0 (11-03-2020)	-
SRR12638293.skesa	-	O157	H7	O157:H7	-	Based on 2 allele(s)	wzx:0.48;fliC:1;	O157-25-wzx;H7-1-fliC-origin;	100;100;	48;100;	Contig_3_23.1589;Contig_244_127.314;	1-664;12331-14088;	664;1758;	v1.0 (11-03-2020)	-
SRR12707563.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_104_115.049;Contig_104_115.049;Contig_138_116.809;	65424-66815;63556-64722;147767-149524;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR12779870.skesa	-	-	H7	-:H7	-	Based on 1 allele(s)	fliC:1;	H7-1-fliC-origin;	100;	100;	Contig_313_31.2246;	5163-6920;	1758;	v1.0 (11-03-2020)	-
SRR12852592.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_106_86.9157;Contig_106_86.9157;Contig_176_91.306;	66742-68133;64874-66040;11428-13185;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR13011680.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_136_54.5199;Contig_136_54.5199;Contig_134_60.0049;	65449-66840;63581-64747;11436-13193;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR13068254.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_157_73.6666;Contig_157_73.6666;Contig_155_72.6443;	65449-66840;63581-64747;11436-13193;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR13085609.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_132_68.9253;Contig_132_68.9253;Contig_143_72.5596;	65424-66815;63556-64722;11436-13193;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR2911022.skesa	-	O157	H7	O157:H7	-	Based on 2 allele(s)	wzx:0.94;fliC:1;	O157-1-wzx-origin;H7-1-fliC-origin;	100;100;	94;100;	Contig_58_14.3808;Contig_276_53.3205;	1-1312;11436-13193;	1312;1758;	v1.0 (11-03-2020)	-
SRR3134846.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:0.66;wzy:0.5;fliC:1;	O157-16-wzx;O157-220-wzy;H7-1-fliC-origin;	100;100;100;	66;50;100;	Contig_133_25.2765;Contig_79_5.60309;Contig_135_32.2035;	1-915;118-602;11436-13193;	915;485;1758;	v1.0 (11-03-2020)	-
SRR3134848.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:0.65;fliC:1;	O157-1-wzx-origin;O157-209-wzy;H7-1-fliC-origin;	100;100;100;	100;65;100;	Contig_161_32.6265;Contig_161_32.6265;Contig_114_37.4986;	1339-2730;1-637;4936-6693;	1392;637;1758;	v1.0 (11-03-2020)	-
SRR3134849.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:0.56;wzy:0.72;fliC:1;	O157-16-wzx;O157-209-wzy;H7-1-fliC-origin;	100;100;100;	56;72;100;	Contig_94_23.6472;Contig_209_9.58007;Contig_87_23.2627;	38236-39009;1-705;4958-6715;	774;705;1758;	v1.0 (11-03-2020)	-
SRR3134850.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:0.5;wzy:1;fliC:1;	O157-3-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	50;100;100;	Contig_110_46.5907;Contig_110_46.5907;Contig_108_48.3669;	65449-66138;63581-64747;11436-13193;	690;1167;1758;	v1.0 (11-03-2020)	-
SRR3134852.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:0.56;wzy:1;fliC:1;	O157-16-wzx;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	56;100;100;	Contig_155_19.0881;Contig_215_18.564;Contig_223_19.0643;	37214-37987;63556-64722;11436-13193;	774;1167;1758;	v1.0 (11-03-2020)	-
SRR3134855.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:0.93;wzy:0.52;fliC:1;	O157-1-wzx-origin;O157-209-wzy;H7-1-fliC-origin;	100;100;100;	93;52;100;	Contig_284_10.2306;Contig_307_8.74803;Contig_55_19.4105;	1-1295;525-1036;11426-13183;	1295;512;1758;	v1.0 (11-03-2020)	-
SRR3134862.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:0.978;fliC:1;	O157-1-wzx-origin;O157-209-wzy;H7-1-fliC-origin;	100;99.793;100;	100;98;100;	Contig_132_47.5166;Contig_132_47.5166;Contig_127_53.2424;	1667-3058;1-965;11436-13193;	1392;965;1758;	v1.0 (11-03-2020)	-
SRR3134870.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:0.998;fliC:1;	O157-1-wzx-origin;O157-209-wzy;H7-1-fliC-origin;	100;99.797;100;	100;100;100;	Contig_167_87.5299;Contig_167_87.5299;Contig_135_88.3153;	1741-3132;56-1039;11436-13193;	1392;984;1758;	v1.0 (11-03-2020)	-
SRR3134871.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:0.93;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	93;100;100;	Contig_155_31.9022;Contig_108_50.7844;Contig_117_53.616;	1-1295;63556-64722;11436-13193;	1295;1167;1758;	v1.0 (11-03-2020)	-
SRR3134873.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:0.9;wzy:0.82;fliC:1;	O157-18-wzx;O157-209-wzy;H7-1-fliC-origin;	100;100;100;	90;82;100;	Contig_11_20.1058;Contig_25_12.7888;Contig_62_46.0677;	52-1305;1-806;5083-6840;	1254;806;1758;	v1.0 (11-03-2020)	-
SRR3134876.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:0.51;wzy:0.94;fliC:1;	O157-16-wzx;O157-58-wzy;H7-1-fliC-origin;	100;100;100;	51;94;100;	Contig_48_27.3752;Contig_99_53.3417;Contig_32_89.7667;	1-705;3-1114;12283-14040;	705;1112;1758;	v1.0 (11-03-2020)	-
SRR3134886.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:0.95;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	95;100;100;	Contig_24_61.2434;Contig_44_60.6076;Contig_134_63.752;	30264-31590;63571-64737;11436-13193;	1327;1167;1758;	v1.0 (11-03-2020)	-
SRR3134887.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_38_66.8876;Contig_38_66.8876;Contig_123_69.3888;	65439-66830;63571-64737;11436-13193;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR3134889.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_115_69.7802;Contig_115_69.7802;Contig_114_72.9722;	65449-66840;63581-64747;11436-13193;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR3134891.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:0.77;wzy:0.738;fliC:1;	O157-1-wzx-origin;O157-209-wzy;H7-1-fliC-origin;	100;99.724;100;	77;74;100;	Contig_632_14.6779;Contig_195_7.56753;Contig_120_15.7695;	23384-24452;1-724;1608-3365;	1069;724;1758;	v1.0 (11-03-2020)	-
SRR3134894.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_150_21.173;Contig_83_11.4794;Contig_165_22.1254;	16244-17635;560-1726;11436-13193;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR3134895.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_77_42.557;Contig_77_42.557;Contig_121_44.6919;	66742-68133;64874-66040;11436-13193;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR3134896.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_125_38.8497;Contig_125_38.8497;Contig_124_39.7832;	65449-66840;63581-64747;11436-13193;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR3136853.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_107_36.0766;Contig_107_36.0766;Contig_113_38.2382;	65424-66815;63556-64722;11436-13193;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR3136855.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_39_28.2228;Contig_39_28.2228;Contig_129_27.554;	2059-3450;191-1357;11436-13193;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR3136866.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_134_39.9101;Contig_134_39.9101;Contig_131_41.0782;	65449-66840;63581-64747;11436-13193;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR3136867.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_56_43.5843;Contig_56_43.5843;Contig_119_44.5706;	143335-144726;141467-142633;11436-13193;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR3136873.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_30_38.8531;Contig_30_38.8531;Contig_106_40.2237;	65439-66830;63571-64737;11436-13193;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR3137533.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:0.924;fliC:1;	O157-1-wzx-origin;O157-220-wzy;H7-1-fliC-origin;	100;99.338;100;	100;93;100;	Contig_11_17.4894;Contig_75_8.48603;Contig_183_18.2936;	135-1526;473-1378;11436-13193;	1392;906;1758;	v1.0 (11-03-2020)	-
SRR3137536.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:0.998;fliC:1;	O157-1-wzx-origin;O157-209-wzy;H7-1-fliC-origin;	100;99.797;100;	100;100;100;	Contig_51_44.0471;Contig_51_44.0471;Contig_132_45.6974;	1735-3126;50-1033;11436-13193;	1392;984;1758;	v1.0 (11-03-2020)	-
SRR3137538.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_40_36.7322;Contig_40_36.7322;Contig_130_37.4751;	65439-66830;63571-64737;11436-13193;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR3137541.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_121_34.1896;Contig_121_34.1896;Contig_120_34.4709;	65449-66840;63581-64747;11436-13193;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR3137542.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:0.968;fliC:1;	O157-1-wzx-origin;O157-209-wzy;H7-1-fliC-origin;	100;99.789;100;	100;97;100;	Contig_159_57.6196;Contig_159_57.6196;Contig_123_58.0575;	1652-3043;1-950;11436-13193;	1392;950;1758;	v1.0 (11-03-2020)	-
SRR3137543.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:0.99;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	99;100;100;	Contig_85_24.9777;Contig_181_10.5662;Contig_134_25.34;	38199-39578;49-1215;11436-13193;	1380;1167;1758;	v1.0 (11-03-2020)	-
SRR3137545.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_126_54.6041;Contig_126_54.6041;Contig_138_63.3809;	65424-66815;63556-64722;11436-13193;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR3137552.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_121_50.68;Contig_121_50.68;Contig_120_51.7839;	65449-66840;63581-64747;11436-13193;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR3137555.skesa	-	O157	H7	O157:H7	-	Based on 2 allele(s)	wzx:0.95;fliC:1;	O157-1-wzx-origin;H7-1-fliC-origin;	100;100;	95;100;	Contig_127_14.4417;Contig_183_21.4283;	1-1324;11436-13193;	1324;1758;	v1.0 (11-03-2020)	-
SRR3642718.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_132_42.6917;Contig_132_42.6917;Contig_149_43.4101;	65425-66816;63557-64723;11436-13193;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR5160662.skesa	-	O157	H7	O157:H7	-	Based on 2 allele(s)	wzx:0.98;fliC:1;	O157-1-wzx-origin;H7-1-fliC-origin;	100;100;	98;100;	Contig_35_46.1053;Contig_153_50.8754;	30264-31629;11436-13193;	1366;1758;	v1.0 (11-03-2020)	-
SRR5588783.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:0.999;fliC:1;	O157-1-wzx-origin;O157-15-wzy-origin;H7-1-fliC-origin;	100;99.916;100;	100;100;100;	Contig_158_50.376;Contig_158_50.376;Contig_134_53.4672;	65447-66838;63561-64745;11436-13193;	1392;1185;1758;	v1.0 (11-03-2020)	-
SRR5657802.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_139_54.1337;Contig_139_54.1337;Contig_37_62.9983;	65449-66840;63581-64747;11437-13194;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR5864533.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_74_62.3744;Contig_74_62.3744;Contig_165_66.2581;	143336-144727;141468-142634;11436-13193;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR6039188.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_57_67.931;Contig_57_67.931;Contig_126_70.8843;	65556-66947;63688-64854;11436-13193;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR6058046.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:0.98;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	98;100;100;	Contig_25_72.8719;Contig_140_71.4269;Contig_152_81.3126;	30264-31626;63556-64722;11436-13193;	1363;1167;1758;	v1.0 (11-03-2020)	-
SRR6072231.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_117_59.0954;Contig_117_59.0954;Contig_136_57.666;	143521-144912;141653-142819;11436-13193;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR6072232.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_120_35.8213;Contig_120_35.8213;Contig_126_37.833;	65424-66815;63556-64722;11436-13193;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR6072234.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_177_45.1284;Contig_177_45.1284;Contig_147_52.4095;	67339-68730;65471-66637;11436-13193;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR6216398.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_34_48.5178;Contig_34_48.5178;Contig_131_48.8956;	65439-66830;63571-64737;147767-149524;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR6216423.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_136_91.8201;Contig_136_91.8201;Contig_146_98.9478;	65425-66816;63557-64723;11436-13193;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR6216432.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_129_80.2552;Contig_129_80.2552;Contig_320_78.5424;	33123-34514;31255-32421;11436-13193;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR6252844.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_123_54.0423;Contig_123_54.0423;Contig_133_60.9516;	65425-66816;63557-64723;11436-13193;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR6366155.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:0.87;fliC:1;	O157-1-wzx-origin;O157-220-wzy;H7-1-fliC-origin;	100;100;100;	100;87;100;	Contig_10_52.2007;Contig_10_52.2007;Contig_151_48.2601;	1553-2944;1-851;147767-149524;	1392;851;1758;	v1.0 (11-03-2020)	-
SRR6396370.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_124_55.0382;Contig_124_55.0382;Contig_110_59.6758;	65444-66835;63576-64742;11436-13193;	1392;1167;1758;	v1.0 (11-03-2020)	-
